scientificName,PopulationSize.range
Ptilinopus rarotongensis,250-999
Ptilinopus chalcurus,300-1500
Ptilinopus insularis,NA
Ptilinopus granulifrons,2500-9999
Ptilinopus arcanus,1-49
Ducula mindorensis,600-1700
Ducula galeata,249
Ducula pickeringii,1500-7000
Ducula brenchleyi,600-1700
Ducula bakeri,2500-9999
Afrotis afra,U
Balearica pavonina,28000-47000
Balearica regulorum,17700-22300
Grus antigone,13000-15000
Grus monacha,6000-15000
Grus japonensis,1830
Heliopais personatus,600-1700
Sarothrura watersi,250-999
Coturnicops exquisitus,2500-9999
Laterallus tuerosi,600-1700
Laterallus xenopterus,2500-9999
Gallirallus lafresnayanus,1-49
Hypotaenidia sylvestris,232
Hypotaenidia okinawae,480
Rallus wetmorei,50-200
Rallus semiplumbeus,1000-2499
Rallus antarcticus,2500-9999
Rallus madagascariensis,2500-9999
Lewinia muelleri,NA
Aramidopsis plateni,2500-9999
Laterallus rogersi,5600
Aramides wolfi,1000-2499
Zapornia olivieri,250-999
Laterallus spilopterus,2500-9999
Zapornia atra,8200
Habroptila wallacii,2500-9999
Gallinula comeri,8500
Fulica alai,1300-2700
Monias benschi,65000-110000
Scolopax mira,2500-9999
Gallinago macrodactyla,2500-9999
Coenocorypha pusilla,1800-2200
Tringa guttifer,600-1300
Charadrius thoracicus,1800-2300
Charadrius sanctaehelenae,560
Thinornis cucullatus,7000
Thinornis novaeseelandiae,156-220
Glareola ocularis,3300-6700
Chlidonias albostriatus,2500-9999
Haliaeetus sanfordi,250-999
Haliaeetus pelagicus,3600-3800
Eutriorchis astur,250-999
Circus macrosceles,100-249
Accipiter butleri,2500-5000
Accipiter imitator,250-999
Accipiter princeps,2500-9999
Buteogallus lacernulatus,2500-9999
Pseudastur occidentalis,250-999
Buteogallus coronatus,250-999
Buteo galapagoensis,270-330
Buteo ventralis,250-999
Harpyopsis novaeguineae,2500-9999
Spizaetus isidori,250-999
Micrastur plumbeus,6000-15000
Falco punctatus,170-200
Falco araeus,530
Falco hypoleucos,999
Egretta vinaceigula,2500-3300
