assessmentId,internalTaxonId,scientificName,code,name,international,national,other,subsistence
93218506,22689108,Strix uralensis,13,"Pets/display animals, horticulture",true,NA,NA,NA
93218931,22689118,Strix nebulosa,13,"Pets/display animals, horticulture",true,NA,NA,NA
93219321,22689122,Ciccaba virgata,13,"Pets/display animals, horticulture",true,NA,NA,NA
93219904,22689144,Ciccaba huhula,13,"Pets/display animals, horticulture",true,NA,NA,NA
93220349,22689166,Strix woodfordii,13,"Pets/display animals, horticulture",true,NA,NA,NA
93221920,22689189,Surnia ulula,13,"Pets/display animals, horticulture",true,NA,NA,NA
93222388,22689200,Glaucidium brodiei,13,"Pets/display animals, horticulture",true,NA,NA,NA
93222668,22689203,Glaucidium perlatum,13,"Pets/display animals, horticulture",true,NA,NA,NA
93223061,22689222,Glaucidium jardinii,13,"Pets/display animals, horticulture",true,NA,NA,NA
93223829,22689253,Glaucidium peruanum,13,"Pets/display animals, horticulture",true,NA,NA,NA
93224451,22689267,Glaucidium tephronotum,13,"Pets/display animals, horticulture",true,NA,NA,NA
93224707,22689271,Glaucidium sjostedti,13,"Pets/display animals, horticulture",true,NA,NA,NA
93224900,22689277,Glaucidium cuculoides,13,"Pets/display animals, horticulture",NA,true,NA,true
93224900,22689277,Glaucidium cuculoides,1,Food - human,NA,true,NA,true
93224900,22689277,Glaucidium cuculoides,3,Medicine - human & veterinary,NA,true,NA,true
93225315,22689283,Glaucidium radiatum,3,Medicine - human & veterinary,NA,true,NA,true
93225315,22689283,Glaucidium radiatum,13,"Pets/display animals, horticulture",true,NA,NA,NA
93226849,22689325,Micrathene whitneyi,13,"Pets/display animals, horticulture",true,NA,NA,NA
93227068,22689332,Athene brama,3,Medicine - human & veterinary,NA,true,NA,true
93227068,22689332,Athene brama,1,Food - human,NA,true,NA,true
93227068,22689332,Athene brama,13,"Pets/display animals, horticulture",true,NA,NA,NA
93227732,22689353,Athene cunicularia,15,Sport hunting/specimen collecting,NA,true,NA,true
93227732,22689353,Athene cunicularia,13,"Pets/display animals, horticulture",true,NA,NA,NA
93228127,22689362,Aegolius funereus,13,"Pets/display animals, horticulture",true,NA,NA,NA
93228694,22689366,Aegolius acadicus,13,"Pets/display animals, horticulture",true,NA,NA,NA
93229112,22689378,Aegolius harrisii,13,"Pets/display animals, horticulture",true,NA,NA,NA
93229356,22689385,Ninox rufa,13,"Pets/display animals, horticulture",true,NA,NA,NA
93229550,22689389,Ninox strenua,13,"Pets/display animals, horticulture",true,NA,NA,NA
93229752,22689394,Ninox connivens,13,"Pets/display animals, horticulture",true,NA,NA,NA
93230481,22689425,Athene superciliaris,13,"Pets/display animals, horticulture",true,NA,NA,NA
93231190,22689460,Ninox theomacha,13,"Pets/display animals, horticulture",true,NA,NA,NA
93232472,22689501,Pseudoscops grammicus,13,"Pets/display animals, horticulture",true,NA,NA,NA
93233846,22689512,Asio abyssinicus,13,"Pets/display animals, horticulture",true,NA,NA,NA
93234205,22689522,Asio clamator,13,"Pets/display animals, horticulture",true,NA,NA,NA
93234548,22689531,Asio flammeus,13,"Pets/display animals, horticulture",true,NA,NA,NA
93234548,22689531,Asio flammeus,15,Sport hunting/specimen collecting,NA,true,NA,true
93235768,22689535,Asio capensis,13,"Pets/display animals, horticulture",true,NA,NA,NA
93236849,22689555,Aegotheles cristatus,13,"Pets/display animals, horticulture",true,NA,NA,NA
93237832,22689580,Podargus strigoides,13,"Pets/display animals, horticulture",NA,true,NA,true
93240317,22689633,Steatornis caripensis,7,Fuels,NA,true,NA,true
93243940,22689711,Chordeiles acutipennis,11,Other household goods,NA,true,NA,true
93244252,22689714,Chordeiles minor,13,"Pets/display animals, horticulture",true,NA,NA,NA
93253992,22689969,Caprimulgus asiaticus,3,Medicine - human & veterinary,NA,true,NA,true
93255114,22689985,Caprimulgus affinis,1,Food - human,NA,true,NA,true
93256391,22690000,Gactornis enarratus,1,Food - human,NA,true,NA,true
93259855,22690074,Columba rupestris,13,"Pets/display animals, horticulture",true,NA,NA,NA
93259855,22690074,Columba rupestris,1,Food - human,NA,true,NA,true
93262374,22690145,Columba arquatrix,1,Food - human,NA,true,NA,true
93262374,22690145,Columba arquatrix,13,"Pets/display animals, horticulture",true,NA,NA,NA
93263339,22690168,Columba pulchricollis,13,"Pets/display animals, horticulture",NA,true,NA,true
93265338,22690211,Columba vitiensis,13,"Pets/display animals, horticulture",true,NA,NA,NA
93265338,22690211,Columba vitiensis,1,Food - human,NA,true,NA,true
93265605,22690215,Columba leucomela,13,"Pets/display animals, horticulture",true,NA,NA,NA
93267191,22690241,Patagioenas squamosa,13,"Pets/display animals, horticulture",true,NA,NA,NA
93267191,22690241,Patagioenas squamosa,1,Food - human,NA,true,NA,true
93267545,22690247,Patagioenas corensis,13,"Pets/display animals, horticulture",true,NA,NA,NA
93267545,22690247,Patagioenas corensis,1,Food - human,NA,true,NA,true
93267767,22690253,Patagioenas picazuro,13,"Pets/display animals, horticulture",true,NA,NA,NA
93267767,22690253,Patagioenas picazuro,1,Food - human,NA,true,NA,true
93268503,22690290,Patagioenas cayennensis,1,Food - human,NA,true,NA,true
93268503,22690290,Patagioenas cayennensis,13,"Pets/display animals, horticulture",NA,true,NA,true
93270567,22690346,Columba iriditorques,13,"Pets/display animals, horticulture",true,NA,NA,NA
93271284,22690364,Nesoenas picturatus,1,Food - human,NA,true,NA,true
93271506,22690384,Aplopelia larvata,13,"Pets/display animals, horticulture",true,NA,NA,NA
93273750,22690439,Streptopelia orientalis,1,Food - human,NA,true,NA,true
93273750,22690439,Streptopelia orientalis,13,"Pets/display animals, horticulture",NA,true,NA,true
93274340,22690477,Streptopelia decipiens,13,"Pets/display animals, horticulture",NA,true,NA,true
93274736,22690484,Streptopelia vinacea,13,"Pets/display animals, horticulture",true,NA,NA,NA
93275741,22690499,Streptopelia semitorquata,13,"Pets/display animals, horticulture",true,NA,NA,NA
93276810,22690545,Macropygia unchall,13,"Pets/display animals, horticulture",NA,true,NA,true
93277293,22690553,Macropygia tenuirostris,1,Food - human,NA,true,NA,true
93277461,22690557,Macropygia emiliana,13,"Pets/display animals, horticulture",true,NA,NA,NA
93277640,22690561,Macropygia amboinensis,13,"Pets/display animals, horticulture",true,NA,NA,NA
93277985,22690571,Macropygia phasianella,13,"Pets/display animals, horticulture",true,NA,NA,NA
93278553,22690584,Macropygia mackinlayi,1,Food - human,NA,true,NA,true
93278732,22690589,Reinwardtoena reinwardti,13,"Pets/display animals, horticulture",true,NA,NA,NA
93279902,22690614,Turtur abyssinicus,13,"Pets/display animals, horticulture",true,NA,NA,NA
93280268,22690621,Turtur chalcospilos,13,"Pets/display animals, horticulture",NA,true,NA,true
93280584,22690628,Turtur afer,13,"Pets/display animals, horticulture",true,NA,NA,NA
93280996,22690635,Turtur tympanistria,13,"Pets/display animals, horticulture",NA,true,NA,true
93281378,22690639,Turtur brehmeri,13,"Pets/display animals, horticulture",true,NA,NA,NA
93282342,22690661,Henicophaps albifrons,13,"Pets/display animals, horticulture",true,NA,NA,NA
93282812,22690667,Phaps chalcoptera,13,"Pets/display animals, horticulture",true,NA,NA,NA
93283025,22690670,Phaps elegans,13,"Pets/display animals, horticulture",true,NA,NA,NA
93283025,22690670,Phaps elegans,1,Food - human,NA,true,NA,true
93283207,22690673,Phaps histrionica,13,"Pets/display animals, horticulture",true,NA,NA,NA
93283379,22690676,Ocyphaps lophotes,13,"Pets/display animals, horticulture",true,NA,NA,NA
93283897,22690692,Geophaps scripta,13,"Pets/display animals, horticulture",true,NA,NA,NA
93283897,22690692,Geophaps scripta,1,Food - human,NA,true,NA,true
93284384,22690705,Geopelia cuneata,1,Food - human,NA,true,NA,true
93284384,22690705,Geopelia cuneata,13,"Pets/display animals, horticulture",NA,true,NA,true
93284564,22690708,Geopelia striata,13,"Pets/display animals, horticulture",NA,true,NA,true
93284868,22690716,Geopelia maugeus,13,"Pets/display animals, horticulture",true,NA,NA,NA
93285055,22690719,Geopelia placida,13,"Pets/display animals, horticulture",true,NA,NA,NA
