scientificName,redlistCategory,actions,other_threats,smallpop
Dicrurus fuscipennis,Endangered,NA,NA,yes
Dicrurus waldenii,Vulnerable,NA,NA,NA
Terpsiphone corvina,Critically Endangered,yes,NA,NA
Mayrornis schistaceus,Vulnerable,NA,NA,NA
Metabolus rugensis,Endangered,NA,NA,NA
Symposiachrus julianae,Vulnerable,NA,NA,NA
Symposiachrus brehmii,Endangered,NA,NA,NA
Metabolus takatsukasae,Vulnerable,NA,yes,NA
Laniarius amboimensis,Endangered,NA,NA,yes
Malaconotus gladiator,Vulnerable,NA,NA,yes
Prionops alberti,Vulnerable,NA,NA,yes
Prionops gabela,Endangered,NA,NA,yes
Platysteira laticincta,Endangered,NA,yes,NA
Picathartes oreas,Vulnerable,NA,yes,yes
Myophonus blighi,Endangered,NA,yes,yes
Myadestes obscurus,Vulnerable,yes,NA,NA
Cichlopsis leucogenys,Endangered,NA,NA,yes
Turdus ludoviciae,Vulnerable,NA,NA,yes
Cyornis brunneatus,Vulnerable,NA,NA,NA
Vauriella insignis,Vulnerable,NA,NA,yes
Vauriella albigularis,Endangered,NA,NA,NA
Fraseria lendu,Vulnerable,NA,NA,yes
Humblotia flavirostris,Endangered,NA,NA,NA
Ficedula subrubra,Vulnerable,NA,NA,NA
Ficedula basilanica,Vulnerable,NA,NA,yes
Ficedula platenae,Vulnerable,NA,NA,NA
Cyornis sanfordi,Endangered,NA,NA,NA
Cyornis ruckii,Critically Endangered,NA,NA,yes
Cyornis caerulatus,Vulnerable,NA,NA,NA
Swynnertonia swynnertoni,Vulnerable,NA,NA,yes
Sheppardia montana,Endangered,NA,NA,NA
Sheppardia lowei,Vulnerable,NA,NA,NA
Kittacincla cebuensis,Endangered,NA,yes,yes
Phoenicurus bicolor,Vulnerable,NA,NA,NA
Cochoa azurea,Vulnerable,NA,NA,yes
Aplonis pelzelni,Critically Endangered,NA,NA,yes
Aplonis cinerascens,Vulnerable,NA,NA,NA
Poeoptera femoralis,Vulnerable,NA,NA,NA
Sturnornis albofrontatus,Vulnerable,NA,yes,yes
Mimus macdonaldi,Vulnerable,NA,NA,NA
Mimus melanotis,Endangered,yes,yes,NA
Sitta victoriae,Endangered,NA,NA,NA
Sitta magna,Endangered,NA,NA,yes
Sitta formosa,Vulnerable,NA,NA,yes
Troglodytes tanneri,Vulnerable,NA,yes,NA
Eurochelidon sirintarae,Critically Endangered,yes,yes,yes
Tachycineta cyaneoviridis,Endangered,yes,NA,NA
