assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
11215977,54851,Oreophrynella macconnelli,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,BUFONIDAE,Oreophrynella,macconnelli,NA,NA,NA,"Boulenger, 1900",Vulnerable,D2,3.1,Stable,Global
11216075,54852,Oreophrynella nigra,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,BUFONIDAE,Oreophrynella,nigra,NA,NA,NA,"SeÃ±aris, Ayarzaguena and Gorzula, 1994",Vulnerable,D2,3.1,Stable,Global
11216183,54853,Oreophrynella quelchii,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,BUFONIDAE,Oreophrynella,quelchii,NA,NA,NA,"(Boulenger, 1895)",Vulnerable,D2,3.1,Stable,Global
11216296,54854,Oreophrynella vasquezi,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,BUFONIDAE,Oreophrynella,vasquezi,NA,NA,NA,"SeÃ±aris, Ayarzaguena and Gorzula, 1994",Vulnerable,D2,3.1,Stable,Global
11216403,54855,Osornophryne antisana,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,BUFONIDAE,Osornophryne,antisana,NA,NA,NA,"Hoogmoed, 1987",Endangered,"B1ab(iii,v)",3.1,Decreasing,Global
11217988,54957,Centrolene daidalea,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,CENTROLENIDAE,Centrolene,daidalea,NA,NA,NA,"(RuÃ­z-Carranza &amp; Lynch, 1991)",Vulnerable,B1ab(iii),3.1,Decreasing,Global
11220443,54908,Centrolene buckleyi,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,CENTROLENIDAE,Centrolene,buckleyi,NA,NA,NA,"(Boulenger, 1882)",Vulnerable,A2a,3.1,Decreasing,Global
11222123,54912,Centrolene gemmatum,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,CENTROLENIDAE,Centrolene,gemmatum,NA,NA,NA,"(Flores, 1985)",Critically Endangered,B2ab(iii),3.1,Decreasing,Global
11224731,54987,Cochranella riveroi,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,CENTROLENIDAE,Cochranella,riveroi,NA,NA,NA,"(Ayarzaguena, 1992)",Vulnerable,D2,3.1,Stable,Global
11226688,54992,Nymphargus siren,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,CENTROLENIDAE,Nymphargus,siren,NA,NA,NA,"(Lynch &amp; Duellman, 1973)",Vulnerable,"B1ab(ii,iii,iv,v)",3.1,Decreasing,Global
11230785,54946,Nymphargus anomalus,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,CENTROLENIDAE,Nymphargus,anomalus,NA,NA,NA,"(Lynch &amp; Duellman, 1973)",Critically Endangered,B2ab(iii),3.1,Decreasing,Global
